,날짜,언론사,기사제목,링크
0, 2021.12.28 15:42,이데일리,삼성 쇼윈도에 나타난 '외계인' 정체는…CES 앞두고 티저 공개,https://finance.naver.com/item/news_read.naver?article_id=0005115498&office_id=018&code=005930&page=75&sm=
1, 2021.12.28 15:37,매일경제,삼전·하이닉스 주가 상승에…반도체ETF 웃음꽃,https://finance.naver.com/item/news_read.naver?article_id=0004900473&office_id=009&code=005930&page=75&sm=
2, 2021.12.28 15:27,서울경제,"삼성 한종희·경계현·고동진, KT 구현모 대표, 공학한림원 정회원 됐다",https://finance.naver.com/item/news_read.naver?article_id=0004001692&office_id=011&code=005930&page=75&sm=
3, 2021.12.28 12:10,아시아경제,"삼성전자 한종희·경계현, 나란히 공학한림원 정회원 선정",https://finance.naver.com/item/news_read.naver?article_id=0005022095&office_id=277&code=005930&page=75&sm=
4, 2021.12.28 15:26,이코노미스트,CES 2022 삼성·현대·SK 총 출동…한국 대기업이 보여줄 핵심 키...,https://finance.naver.com/item/news_read.naver?article_id=0000020592&office_id=243&code=005930&page=75&sm=
5, 2021.12.28 15:24,머니투데이,반도체·배터리 공장 멈출라…中 시안 봉쇄령에 삼성전자 '비상',https://finance.naver.com/item/news_read.naver?article_id=0004689011&office_id=008&code=005930&page=75&sm=
6, 2021.12.28 14:36,아시아경제,"파라텍, 116억원 규모 삼성전자 평택캠퍼스 소방기계 공사계약",https://finance.naver.com/item/news_read.naver?article_id=0005022198&office_id=277&code=005930&page=75&sm=
7, 2021.12.28 14:29,이데일리,"파라텍, 삼성전자서 316억 규모 소방기계공사 수주",https://finance.naver.com/item/news_read.naver?article_id=0005115371&office_id=018&code=005930&page=75&sm=
8, 2021.12.28 14:23,헤럴드경제,"파라텍, 삼성전자와 총 432억 규모 소방기계공사 계약",https://finance.naver.com/item/news_read.naver?article_id=0001930298&office_id=016&code=005930&page=75&sm=
9, 2021.12.28 14:28,한국경제,OLED TV 시장 쑥쑥 큰다…삼성전자-LGD 'TV 동맹' 맺나,https://finance.naver.com/item/news_read.naver?article_id=0004645854&office_id=015&code=005930&page=75&sm=
10, 2021.12.28 14:04,머니투데이,"집 나간 강아지, '코 사진'으로 찾았다…CES 혁신상 휩쓴 '삼성 C...",https://finance.naver.com/item/news_read.naver?article_id=0004688939&office_id=008&code=005930&page=75&sm=
11, 2021.12.28 11:03,이데일리,"삼성 'C랩' 통해 큰 벤처기업들, CES 2022서 기술력 뽐낸다",https://finance.naver.com/item/news_read.naver?article_id=0005115209&office_id=018&code=005930&page=75&sm=
12, 2021.12.28 11:01,서울경제,"삼성이 키운 C랩 스타트업, 역대 최다 22개 ‘CES 혁신상’ 수상",https://finance.naver.com/item/news_read.naver?article_id=0004001572&office_id=011&code=005930&page=75&sm=
13, 2021.12.28 11:01,파이낸셜뉴스,"삼성전자 'CES 2022' C랩 스타트업 전시관 대거 지원, 역대 ...",https://finance.naver.com/item/news_read.naver?article_id=0004762925&office_id=014&code=005930&page=75&sm=
14, 2021.12.28 11:00,아시아경제,삼성전자 CES서 'C랩 전시관' 운영…역대 최다 22개 'CES 혁...,https://finance.naver.com/item/news_read.naver?article_id=0005022000&office_id=277&code=005930&page=75&sm=
15, 2021.12.28 12:15,헤럴드경제,"삼성전자C랩, CES서 22개 혁신상 역대최다",https://finance.naver.com/item/news_read.naver?article_id=0001930247&office_id=016&code=005930&page=75&sm=
16, 2021.12.28 11:24,헤럴드경제,AI·메타버스…삼성전자C랩 CES서 역대최다 22개 혁신상 휩쓸어,https://finance.naver.com/item/news_read.naver?article_id=0001930150&office_id=016&code=005930&page=75&sm=
17, 2021.12.28 11:01,매일경제,삼성전자 'CES 2022'에 C랩 사내벤처 과제·외부 스타트업 13...,https://finance.naver.com/item/news_read.naver?article_id=0004900258&office_id=009&code=005930&page=75&sm=
